County,,Urbanicity,population,prison_population,percent incercerated,,Total Returned 2012,Total Released 2012,Rate Return (36 months) 2012,Total Returned 2013,Total Released 2013,Rate Return (36 mo) 2013,Total Return 2014,Total Released 2014,Return Rate (36 mo) 2014,,,# Primary Care Physicians,% Primary Care Physicians,# Mental Health Providers,% Mental Health Providers,,Graduation Rate,% Children in Poverty,80th Percentile Income,20th Percentile Income,Household Income,Residential segregation - black/white Segregation Index,Residential segregation - non-white/white Segregation Index,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Not Proficient in English,,year
Alachua,,small/mid,185260,1657,0.008944187,,187,599,31.20%,191,633,30.20%,157,610,25.70%,,,391,0.002110547,1458,0.007870021,,75,22,97014,15820,45294,42,34,18.1,13.4,20,0.3,6,0.1,9.4,1.1,,
Baker,,suburban,18028,152,0.008431329,,20,87,23.00%,15,67,22.40%,20,63,31.40%,,,12,0.000665631,25,0.001386732,,82,24,94629,22962,51904,18,23,24.7,13.5,13.7,0.4,0.7,0,2.5,0.6,,
Bay,,small/mid,117524,1798,0.015299003,,196,863,22.70%,187,813,23.00%,230,830,27.70%,,,92,0.000782819,421,0.003582247,,71,23,93258,21702,48843,47,35,21.5,16.8,10.9,0.8,2.3,0.2,6.3,1.2,,
Bradford,,rural,17458,246,0.014090961,,17,46,37.00%,23,51,45.10%,26,87,29.90%,,,10,0.000572803,5,0.000286402,,78,27,82224,14012,43058,27,25,19.9,18.4,18.9,0.5,0.6,0.1,4,0.4,,
Brevard,,small/mid,346352,2965,0.008560655,,256,1030,24.90%,202,902,22.40%,228,900,25.30%,,,426,0.001229963,845,0.002439715,,86,22,96643,21931,51214,47,35,18.5,23.2,10,0.5,2.4,0.1,9.9,1.5,,
Broward,,suburban,1248955,7861,0.006294062,,447,1982,22.60%,426,1911,22.30%,440,1957,22.50%,,,1371,0.001097718,2886,0.002310732,,77,18,107259,22446,54055,53,44,21.3,16.1,28,0.4,3.8,0.1,28.7,7.4,,
Calhoun,,rural,9528,122,0.012804366,,9,44,20.50%,12,53,22.60%,15,54,27.80%,,,6,0.000629723,2,0.000209908,,83,31,73353,20000,36708,49,40,20.6,17.9,12.7,1.3,0.8,0.1,5.8,1.4,,
Charlotte,,small/mid,86989,725,0.008334387,,81,338,24.00%,48,266,18.00%,64,266,24.10%,,,115,0.001322006,188,0.002161193,,76,23,85064,21093,44935,47,36,12.6,38.8,5.6,0.3,1.4,0.1,6.9,1.5,,
Citrus,,small/mid,140443,633,0.004507167,,47,215,21.90%,56,233,24.00%,59,220,26.80%,,,76,0.000541145,84,0.000598107,,77,29,74733,17730,40009,31,22,14.7,36,2.8,0.4,1.6,0,5.4,0.8,,
Clay,,small/mid,202529,387,0.001910837,,96,371,25.90%,96,364,26.40%,82,355,23.10%,,,116,0.000572757,168,0.000829511,,84,14,107819,27709,57476,34,31,23.7,15.1,10.5,0.5,3.1,0.2,9.6,1.6,,
Collier,,small/mid,193191,1078,0.00557997,,70,316,22.20%,77,325,23.70%,73,297,24.60%,,,254,0.001314761,338,0.001749564,,84,18,124673,27249,62397,49,40,17.6,31,6.7,0.5,1.4,0.1,27,9.7,,
